filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley,peak_intensity,beam_pixels_10pct,beam_mean_10pct,beam_std_10pct,power_fraction_10pct
INT SID4 22h15m40s528ms.csv,1064.319477025625,1075.3329013400914,749.0077,0.0,3587.6487,0.0,2107.71315,2107.71315,2.6883322533502287,1512.9803603319822,170291116.32410002,1064.319477025625,1.0103478556506773,3587.6487,3587.6487,95770,1762.8712230030283,843.962192123053,0.9914209306472598
INT SID4 22h15m40s736ms.csv,1054.895382533125,1072.5835880624588,727.6931999999999,0.0,3656.4004,0.0,2096.7612,2096.7612,2.681458970156147,1504.404410804634,168783261.2053,1054.895382533125,1.0167677343386015,3656.4004,3656.4004,94792,1762.232273492489,842.2389712292176,0.9897043135439463
INT SID4 22h15m40s935ms.csv,1034.4738647306249,1045.0234637685373,724.02125,0.0,3504.9937,0.0,2066.22115,2066.22115,2.6125586594213432,1470.4432635007574,165515818.35689998,1034.4738647306249,1.0101980334134963,3504.9937,3504.9937,95818,1712.4603621741219,820.8594319770232,0.9913525402689084
INT SID4 22h15m41s135ms.csv,1068.19762580375,1074.254781517086,759.0185,0.0,3602.4219,0.0,2111.082775,2111.082775,2.685636953792715,1514.9462996222815,170911620.1286,1068.19762580375,1.005670444838124,3602.4219,3602.4219,96333,1760.1510415568912,842.4015767095909,0.9920953891766782
INT SID4 22h15m41s346ms.csv,1005.375484258125,1022.8795100154431,687.8438,0.0,3405.6064,0.0,2012.9755,2012.9755,2.5571987750386076,1434.2439879919725,160860077.4813,1005.375484258125,1.017410436231428,3405.6064,3405.6064,95131,1674.4271845097812,807.1695653718008,0.9902390635620418
INT SID4 22h15m41s527ms.csv,1037.235038635625,1050.0090643291135,720.47135,0.0,3495.1006,0.0,2069.434675,2069.434675,2.6250226608227836,1475.9297645222744,165957606.1817,1037.235038635625,1.0123154590981525,3495.1006,3495.1006,95819,1716.861060197873,827.9935816835168,0.9912646591623359
INT SID4 22h15m41s729ms.csv,1057.3670881575,1075.4145349364878,728.3865499999999,0.0,3635.8713,0.0,2102.17935,2102.17935,2.6885363373412194,1508.1559444711597,169178734.1052,1057.3670881575,1.0170682887533744,3635.8713,3635.8713,95240,1759.2333402404452,849.2858827999813,0.9903690567888584
INT SID4 22h15m41s932ms.csv,1055.3039970075,1067.118266780141,739.7443000000001,0.0,3582.5806,0.0,2095.5493,2095.5493,2.6677956669503526,1500.8000547248582,168848639.5212,1055.3039970075,1.0111951341093577,3582.5806,3582.5806,95636,1749.805115122966,837.839961660625,0.9910909703769859
INT SID4 22h15m42s136ms.csv,1063.0955732825,1075.5362347024634,744.77535,0.0,3615.9658,0.0,2110.265475,2110.265475,2.6888405867561587,1512.2642494706733,170095291.7252,1063.0955732825,1.011702298205936,3615.9658,3615.9658,95669,1762.1462332051133,845.5896137942037,0.9911077859630378
INT SID4 22h15m42s335ms.csv,1069.571707865,1080.299526216118,752.53665,0.0,3644.2874,0.0,2120.768775,2120.768775,2.7007488155402952,1520.2050554329364,171131473.2584,1069.571707865,1.010030013202697,3644.2874,3644.2874,95691,1772.6187522170321,846.995469634616,0.9911891587719621
INT SID4 22h15m42s533ms.csv,1045.1507886106249,1057.6766758725678,728.7463,0.0,3513.8584,0.0,2080.148075,2080.148075,2.6441916896814193,1486.9475881377139,167224126.17769998,1045.1507886106249,1.0119847656418968,3513.8584,3513.8584,95865,1729.497184997653,833.5798597898447,0.9914732486843151
INT SID4 22h15m42s725ms.csv,1062.09483517875,1075.6816705698398,739.9002,0.0,3609.6934,0.0,2116.82035,2116.82035,2.6892041764245995,1511.664401742065,169935173.6286,1062.09483517875,1.012792487959705,3609.6934,3609.6934,95633,1760.9326573389937,847.1282156513271,0.9909853812098487
INT SID4 22h15m42s927ms.csv,1054.286088895,1068.1269640358487,734.1374,0.0,3572.2898,0.0,2098.2157,2098.2157,2.6703174100896216,1500.8021981403426,168685774.2232,1054.286088895,1.0131281966883907,3572.2898,3572.2898,95755,1746.0274515879066,842.8982024004555,0.9911378680076367
INT SID4 22h15m43s136ms.csv,1071.150207616875,1087.428401690445,742.7728,0.0,3684.5984,0.0,2133.3785000000003,2133.3785000000003,2.7185710042261126,1526.3865517792026,171384033.2187,1071.150207616875,1.0151969293921768,3684.5984,3684.5984,95274,1781.3302530060669,856.9246831485644,0.9902582833275404
INT SID4 22h15m43s335ms.csv,1047.6363156099999,1065.3947952028238,719.15905,0.0,3585.2346,0.0,2083.9454,2083.9454,2.6634869880070595,1494.189019256676,167621810.4976,1047.6363156099999,1.0169509965702963,3585.2346,3585.2346,95202,1743.627834683095,840.8510551483539,0.9903058356470666
INT SID4 22h15m43s533ms.csv,1054.368743965625,1069.7663833281306,729.00035,0.0,3569.1204,0.0,2102.2687,2102.2687,2.6744159583203264,1502.0274333879127,168698999.0345,1054.368743965625,1.0146036568806014,3569.1204,3569.1204,95587,1748.7572246947807,844.7258902905363,0.9908681011362435
INT SID4 22h15m43s735ms.csv,1069.2905825862501,1077.704113439264,751.8745,0.0,3583.2419,0.0,2129.156,2129.156,2.69426028359816,1518.1637747927844,171086493.2138,1069.2905825862501,1.0078683297038522,3583.2419,3583.2419,96595,1757.8717387483825,850.699040652625,0.9924899237498874
