filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m30s329ms_GMod.csv,0.554101125,0.5707376006523615,0.4779,0.0,11.1799,0.0,0.9396,0.9396,0.0014268440016309036,0.7954667998357159,88656.18,0.554101125,1.0300242589316733,11.1799
GRA SID4 22h15m30s525ms_GMod.csv,0.5544792199999999,0.5729305583331812,0.4774,0.0,9.8699,0.0,0.9395,0.9395,0.001432326395832953,0.7973045707412413,88716.6752,0.5544792199999999,1.0332768797578167,9.8699
GRA SID4 22h15m30s729ms_GMod.csv,0.5553495268749999,0.5788559647288785,0.4736,0.0,16.1959,0.0,0.9377249999999999,0.9377249999999999,0.0014471399118221962,0.8021753116922525,88855.92429999998,0.5553495268749999,1.0423272852776322,16.1959
GRA SID4 22h15m30s926ms_GMod.csv,0.5544587825,0.5783334402245112,0.477,0.0,19.61,0.0,0.9383250000000001,0.9383250000000001,0.001445833600561278,0.8011816392919274,88713.40520000001,0.5544587825,1.0430593913867134,19.61
GRA SID4 22h15m31s134ms_GMod.csv,0.554519475625,0.5735713830596495,0.4773,0.0,15.4827,0.0,0.9416249999999999,0.9416249999999999,0.0014339284576491238,0.7977931587583104,88723.1161,0.554519475625,1.0343575082049945,15.4827
GRA SID4 22h15m31s328ms_GMod.csv,0.5545241049999999,0.5735351517860641,0.4779,0.0,16.9205,0.0,0.9388,0.9388,0.00143383787946516,0.7977703287721661,88723.8568,0.5545241049999999,1.034283535402,16.9205
GRA SID4 22h15m31s529ms_GMod.csv,0.552635548125,0.5720548687490332,0.47465,0.0,16.8509,0.0,0.937,0.937,0.001430137171872583,0.7953934728287393,88421.68770000001,0.552635548125,1.0351394706491186,16.8509
GRA SID4 22h15m31s735ms_GMod.csv,0.552551475,0.5728541501301249,0.4754,0.0,17.3761,0.0,0.9378,0.9378,0.0014321353753253122,0.7959101449499497,88408.236,0.552551475,1.0367435000134388,17.3761
GRA SID4 22h15m31s925ms_GMod.csv,0.55349186875,0.5705767506785878,0.4763,0.0,16.3096,0.0,0.9387,0.9387,0.0014264418766964696,0.7949270673784326,88558.699,0.55349186875,1.0308674488139118,16.3096
GRA SID4 22h15m32s128ms_GMod.csv,0.55425217,0.5711564091272977,0.4782,0.0,16.7615,0.0,0.9417,0.9417,0.0014278910228182442,0.7958725229357557,88680.3472,0.55425217,1.0304991843807616,16.7615
GRA SID4 22h15m32s327ms_GMod.csv,0.551380725,0.5666973149382892,0.475,0.0,11.0288,0.0,0.9379,0.9379,0.001416743287345723,0.7906734746393419,88220.916,0.551380725,1.0277786096662365,11.0288
GRA SID4 22h15m32s527ms_GMod.csv,0.5515150693749999,0.5714572023700155,0.4737,0.0,16.6653,0.0,0.9343,0.9343,0.0014286430059250387,0.794185220756114,88242.4111,0.5515150693749999,1.0361588179568306,16.6653
GRA SID4 22h15m32s734ms_GMod.csv,0.556016135,0.5772612199323301,0.4771,0.0,17.7909,0.0,0.9407,0.9407,0.0014431530498308254,0.8014876017302919,88962.5816,0.556016135,1.0382094755780638,17.7909
GRA SID4 22h15m32s935ms_GMod.csv,0.5539738025,0.5745253606062602,0.47495,0.0,16.7152,0.0,0.9383,0.9383,0.0014363134015156506,0.7981004328027113,88635.8084,0.5539738025,1.0370984295872425,16.7152
GRA SID4 22h15m33s124ms_GMod.csv,0.554498715,0.5719403754499288,0.4775,0.0,11.3013,0.0,0.9398,0.9398,0.001429850938624822,0.7966069128075339,88719.79440000001,0.554498715,1.0314548257319178,11.3013
GRA SID4 22h15m33s329ms_GMod.csv,0.554990958125,0.5736072089488768,0.478,0.0,9.6602,0.0,0.9409,0.9409,0.0014340180223721922,0.7981466891185715,88798.5533,0.554990958125,1.0335433407523198,9.6602
GRA SID4 22h15m33s525ms_GMod.csv,0.552698531875,0.5721857135929294,0.474,0.0,10.2662,0.0,0.9341,0.9341,0.0014304642839823233,0.795531339262359,88431.76509999999,0.552698531875,1.0352582476576968,10.2662
GRA SID4 22h15m33s735ms_GMod.csv,0.55061473875,0.5719067325957412,0.473,0.0,17.5925,0.0,0.9327,0.9327,0.001429766831489353,0.793884032516006,88098.3582,0.55061473875,1.038669494923146,17.5925
GRA SID4 22h15m33s929ms_GMod.csv,0.5518640349999999,0.5720887166927366,0.4726,0.0,17.6753,0.0,0.9333,0.9333,0.0014302217917318415,0.7948819832901297,88298.2456,0.5518640349999999,1.036647942987805,17.6753
GRA SID4 22h15m34s136ms_GMod.csv,0.5541417375,0.5720427463732531,0.4757,0.0,11.4444,0.0,0.939,0.939,0.001430106865933133,0.7964319956607249,88662.678,0.5541417375,1.0323040255963771,11.4444
GRA SID4 22h15m34s324ms_GMod.csv,0.5548690074999999,0.5730388618362391,0.4763,0.0,14.128,0.0,0.9411,0.9411,0.0014325971545905978,0.7976534964030434,88779.04119999999,0.5548690074999999,1.0327462051215872,14.128
